source,target,classifier,strategy,run_type,budget,macro_f1,macro_f1_sd,recovery,n_seeds,rec_lo,rec_hi
clothing,electronics,logreg,self_training,transfer,500,0.8961642432675809,0.003887838021333941,0.7542417443122836,5,0.684542349618378,0.8006148725648315
clothing,electronics,logreg,self_training,transfer,1000,0.9067647405873824,0.004606680481352569,0.9636497842172688,5,0.8942894720360295,1.0315586919073485
clothing,electronics,logreg,self_training,transfer,2000,0.9134954784086518,0.006754775614792949,1.0966124718860308,5,0.9924545466103556,1.1963163639452212
clothing,electronics,logreg,uncertainty,target_only,50,0.6701385618773711,0.07888800227747601,-3.7107935724456915,5,-5.076527203158004,-2.786191124953227
clothing,electronics,logreg,uncertainty,target_only,100,0.6927316854639276,0.028165198244330593,-3.264476613640929,5,-3.705850322534883,-2.8670880108940824
clothing,electronics,logreg,uncertainty,target_only,250,0.7082430162528686,0.0102538817800222,-2.958057275110238,5,-3.1116952513441816,-2.8044192988762937
clothing,electronics,logreg,uncertainty,target_only,500,0.7469428013633224,0.023249739407013203,-2.193560487814609,5,-2.540387721550986,-1.8385841362214852
clothing,electronics,logreg,uncertainty,target_only,1000,0.8842142914191522,0.007350709770946158,0.5181758392849851,5,0.4280478880152045,0.6444866544418801
clothing,electronics,logreg,uncertainty,target_only,2000,0.9083646069392879,0.005398801246277128,0.9952544218823924,5,0.9289742814517552,1.0890650833607185
clothing,electronics,logreg,uncertainty,transfer,50,0.8732105529784165,0.00411248305065084,0.30080195304313717,5,0.25294434059705606,0.3730977803631235
clothing,electronics,logreg,uncertainty,transfer,100,0.8846556965463567,0.007476818537262524,0.5268955983399939,5,0.3957142261125194,0.6313836364490643
clothing,electronics,logreg,uncertainty,transfer,250,0.8969392996102705,0.009103177264334733,0.7695526325321598,5,0.624444584696459,0.9052691515501226
clothing,electronics,logreg,uncertainty,transfer,500,0.9052608040563142,0.007024432477489778,0.9339401968638326,5,0.823482104921173,1.0410212931416751
clothing,electronics,logreg,uncertainty,transfer,1000,0.9139016570128021,0.006097293581506362,1.1046363468779714,5,1.0210391403099794,1.1901314936411984
clothing,electronics,logreg,uncertainty,transfer,2000,0.9142189327084171,0.0066628057573712785,1.110903985039073,5,1.0099705596044033,1.2118374104737428
clothing,music,logreg,random,target_only,50,0.7245822857799562,0.03680410726912178,-0.9767393986189152,5,-1.32142022796576,-0.7106752022652463
clothing,music,logreg,random,target_only,100,0.7635510253954223,0.023243715504335065,-0.5271633314421944,5,-0.7491262784887599,-0.33260728152534347
clothing,music,logreg,random,target_only,250,0.8237263195550717,0.017054138721823653,0.16706933701086635,5,0.043914331151358225,0.33804873396013907
clothing,music,logreg,random,target_only,500,0.8489390971300997,0.01091881565463724,0.4579450875902804,5,0.35605289064134527,0.5399393053432823
clothing,music,logreg,random,target_only,1000,0.8778109547246359,0.008109306292400828,0.7910350545104914,5,0.7192694983073196,0.8592444365132152
clothing,music,logreg,random,target_only,2000,0.8951338616462816,0.006455052752765585,0.9908866392102171,5,0.9318379245522725,1.0481683679153793
clothing,music,logreg,random,transfer,50,0.8267556639166646,0.00814963015657791,0.20201839457977738,5,0.12473531748601863,0.27297362419021187
clothing,music,logreg,random,transfer,100,0.8336216699410306,0.008417734359611668,0.28123039928164506,5,0.20736587662953046,0.35433139406830494
clothing,music,logreg,random,transfer,250,0.8481558285994483,0.008419023851686828,0.4489086448151641,5,0.38016715808482904,0.5333398549106425
clothing,music,logreg,random,transfer,500,0.8630457995456297,0.006050070996646044,0.6206918393556162,5,0.5723086654516294,0.6824127469241091
